step,ep_reward_mean,policy_loss,value_loss,entropy,approx_kl,clip_frac,lr,sps
995328,37.4,0.0133,7.5065,1.0548,0.0166,0.136,0.0002,146.0
999424,31.6,0.0117,3.3526,1.058,0.0147,0.088,0.0002,146.0
1003520,14.6,0.0073,14.7891,1.0705,0.0251,0.125,0.0002,144.0
1007616,47.0,0.0037,17.4316,1.072,0.0175,0.146,0.0002,144.0
1011712,33.1,0.0136,16.4091,1.0686,0.0245,0.185,0.0002,144.0
1015808,40.6,0.0122,20.6582,1.0686,0.022,0.156,0.000199,144.0
1019904,41.7,0.0134,10.9483,1.0716,0.021,0.114,0.000199,145.0
1024000,25.0,0.0145,7.6044,1.0753,0.0316,0.157,0.000199,145.0
1026048,8.3,0.0133,5.2471,1.0791,0.0221,0.146,0.000199,145.0
1028096,7.0,0.0131,3.3227,1.082,0.0308,0.177,0.000199,145.0
1030144,6.6,0.0362,7.3591,1.0839,0.0316,0.156,0.000199,145.0
